candidate,info,winner,award_name,year,page,label,work_uuid,agent_uuid
The Devil's Playground,Fred Schepisi,True,Best Film sponsored by the Australian Film Comission and The Bulletin,1976,feature-film,The Devil's Playground (1976),2325ab2f-0ac4-4f59-96e0-3f17faed105a,b80121d1-23bd-41c3-85fc-1cc0264596c5
Picnic at Hanging Rock,Patricia Lovell,False,Best Film sponsored by the Australian Film Comission and The Bulletin,1976,feature-film,Picnic at Hanging Rock (1976),1c17ae58-10da-45cd-b76c-e9633e170479,c6a6eabc-c4fc-4160-a261-1c6904a14077
Picnic at Hanging Rock,Hal McElroy,False,Best Film sponsored by the Australian Film Comission and The Bulletin,1976,feature-film,Picnic at Hanging Rock (1976),1c17ae58-10da-45cd-b76c-e9633e170479,34395e0d-8e89-4382-b852-920b0134da85
Picnic at Hanging Rock,Jim McElroy,False,Best Film sponsored by the Australian Film Comission and The Bulletin,1976,feature-film,Picnic at Hanging Rock (1976),1c17ae58-10da-45cd-b76c-e9633e170479,06754f19-313d-4142-a15b-2ed467cbeaa2
Break Of Day,Patricia Lovell,False,Best Film sponsored by the Australian Film Commission and Cinema International Corporation,1977,feature-film,Break Of Day (1977),ba6eef73-d52d-4652-969a-ba27f7800879,c6a6eabc-c4fc-4160-a261-1c6904a14077
Don's Party,Phillip Adams,False,Best Film sponsored by the Australian Film Commission and Cinema International Corporation,1977,feature-film,Don's Party (1977),46951f52-c22d-46e0-b2ac-a6aa9ba51428,53026cac-9d83-4753-b7af-520ce81de63a
The Picture Show Man,Joan Long,False,Best Film sponsored by the Australian Film Commission and Cinema International Corporation,1977,feature-film,The Picture Show Man (1977),1807d77a-067c-443a-af12-53cd3cd35114,9e695067-581d-48c7-94da-5c2589b51f1d
Storm Boy,Matt Carroll,True,Best Film sponsored by the Australian Film Commission and Cinema International Corporation,1977,feature-film,Storm Boy (1977),20f4cfc5-1b7e-4a70-8cb8-03bc40275a1e,6976b45b-ddbc-42e6-8612-303334b2ba86
Mouth To Mouth,John Duigan,False,Best Film sponsored by the Australian Film Commission and the South Australian Government,1978,feature-film,Mouth To Mouth (1978),202fb98e-60cb-45d6-9abe-600b8d368efc,6948d911-33bf-4232-a532-7be2b6ffd4c5
Mouth To Mouth,Jon Sainken,False,Best Film sponsored by the Australian Film Commission and the South Australian Government,1978,feature-film,Mouth To Mouth (1978),202fb98e-60cb-45d6-9abe-600b8d368efc,91cd023d-9414-4255-b217-7920e6e5411b
Newsfront,David Elfick,True,Best Film sponsored by the Australian Film Commission and the South Australian Government,1978,feature-film,Newsfront (1978),5792bf8c-2bbb-43be-b91d-9c6d69b0eb5a,b4ebfd27-302a-4a8c-94f9-d28bda8b69e8
