,title,year,activity,agent
0,13 Gantry Row,1998,Key cast:,Rebecca Gibney
1,13 Gantry Row,1998,Key cast:,John Adam
2,13 Gantry Row,1998,Key cast:,Doris Younane
3,13 Gantry Row,1998,Key cast:,Nicholas Hammond
4,13 Gantry Row,1998,Key cast:,Mark Gerber
5,13 Gantry Row,1998,Key cast:,Erik Thomson
6,13 Gantry Row,1998,Key cast:,Marshall Napier
7,13 Gantry Row,1998,Key cast:,Michael Caton
8,13 Gantry Row,1998,Key cast:,Tony Llewellyn Jones
9,13 Gantry Row,1998,Key cast:,Ron Graham
10,13 Gantry Row,1998,Key cast:,Sydney Conabere
11,13 Gantry Row,1998,Key cast:,Julie Herbert
12,13 Gantry Row,1998,Key cast:,Anthony Phelan
13,13 Gantry Row,1998,Key cast:,Nicholas Opolski
14,13 Gantry Row,1998,Key cast:,Les Foxcroft
15,13 Gantry Row,1998,Director/s:,Catherine Millar
16,13 Gantry Row,1998,Producer/s:,Robert Bruning
17,The 13th Floor,1988,Key cast:,Lisa Hensley
18,The 13th Floor,1988,Key cast:,Tim McKenzie
19,The 13th Floor,1988,Key cast:,Miranda Otto
20,The 13th Floor,1988,Key cast:,Tony Blackett
21,The 13th Floor,1988,Key cast:,Jeff Truman
22,The 13th Floor,1988,Key cast:,Vic Rooney
23,The 13th Floor,1988,Key cast:,Paul Hunt
24,The 13th Floor,1988,Key cast:,Michael Caton
25,The 13th Floor,1988,Key cast:,Allen Leong
26,The 13th Floor,1988,Key cast:,Georgie Parker
27,The 13th Floor,1988,Key cast:,Adam Cook
28,The 13th Floor,1988,Key cast:,Cathren Michalak
29,The 13th Floor,1988,Director/s:,Chris Roache
30,The 13th Floor,1988,Director/s:,Adrian Carr
31,The 13th Floor,1988,Producer/s:,David Hannay
32,The 13th Floor,1988,Producer/s:,Charles Hannah
33,14&#039;s Good 18&#039;s Better,1981,Key cast:,
34,14&#039;s Good 18&#039;s Better,1981,Director/s:,Gillian Armstrong
35,14&#039;s Good 18&#039;s Better,1981,Producer/s:,Hilary Linstead
36,14&#039;s Good 18&#039;s Better,1981,Producer/s:,Gillian Armstrong
37,14&#039;s Good 18&#039;s Better,1981,Producer/s:,Tim Read
38,15 Amore,1998,Key cast:,Lisa Hensley
39,15 Amore,1998,Key cast:,Steve Bastoni
40,15 Amore,1998,Key cast:,Domenic Galati
41,15 Amore,1998,Key cast:,Tara Jakszewicz
42,15 Amore,1998,Key cast:,Gertraud Ingeborg
43,15 Amore,1998,Key cast:,Rhiana Griffith
44,15 Amore,1998,Key cast:,Joel Pieterse
45,15 Amore,1998,Key cast:,Nicholas Bryant
