title,year,activity,agent,label,work_uuid,agent_uuid
13 Gantry Row,1998,hasActor,Rebecca Gibney,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,dfb83346-039e-492b-8ff1-489c23cf5b5d
13 Gantry Row,1998,hasActor,John Adam,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,9a6d8e9d-c029-4f06-868f-ee5236da4d56
13 Gantry Row,1998,hasActor,Doris Younane,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,485457bf-fa7d-4dac-a60e-274d117707d4
13 Gantry Row,1998,hasActor,Nicholas Hammond,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,71785510-f456-4d8c-8900-99f08a2950a8
13 Gantry Row,1998,hasActor,Mark Gerber,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,66b7c78b-3496-4264-92bc-c1523718933f
13 Gantry Row,1998,hasActor,Erik Thomson,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,70836bc7-c0c7-421d-a6da-47cfe4cfccdd
13 Gantry Row,1998,hasActor,Marshall Napier,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,8db04d54-498e-466f-a6bc-21fd3a8813f3
13 Gantry Row,1998,hasActor,Michael Caton,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,1c6f8cdc-dd14-494e-bb55-4723bb009b0d
13 Gantry Row,1998,hasActor,Tony Llewellyn Jones,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,7c0d9000-08fc-49dc-bf0a-314c3fedd5c4
13 Gantry Row,1998,hasActor,Ron Graham,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,c2149a30-071d-446e-93ad-50fb8810a23d
13 Gantry Row,1998,hasActor,Sydney Conabere,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,63e50312-59ac-4e03-b72c-4f1c03dc5f8f
13 Gantry Row,1998,hasActor,Julie Herbert,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,cd9923d3-5a0e-4d00-b200-4228ed489d37
13 Gantry Row,1998,hasActor,Anthony Phelan,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,2e9f843b-6b01-4dce-9a5a-91c45feb2e60
13 Gantry Row,1998,hasActor,Nicholas Opolski,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,59077ef8-49fa-40c9-9bde-9af3222f845b
13 Gantry Row,1998,hasActor,Les Foxcroft,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,4ad6e834-3a86-4c7e-ab0f-db7101a2d3a6
13 Gantry Row,1998,hasDirector,Catherine Millar,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,24068bf1-3bf3-417d-b360-011ddec6d001
13 Gantry Row,1998,hasProducer,Robert Bruning,13 Gantry Row (1998),e5055786-5d3a-4217-99a8-612897e41483,8f2e67e4-4388-458b-88b0-62682075f2a3
